Kanton;Gemeinde;FlÑche;LÑngengrad;Breitengrad
BE;MÅhlethurnen;292;605472;184992
BE;MÅlchi;382;602842;216710
BE;MÅnchenbuchsee;882;600758;207454
BE;MÅnchenwiler;250;576142;195603
BE;MÅnchringen;241;606558;210829
BE;MÅnsingen;848;609320;191668
BE;MÅntschemier;488;577769;204916
BE;Muri bei Bern;763;604681;197923
BE;Neuenegg;2187;589294;195121
BE;Nidau;152;584995;219282
BE;Niederbipp;1737;620069;235066
BE;NiederhÅnigen;541;615849;191129
BE;Niedermuhlern;725;601764;189612
BE;Niederînz;280;618591;226152
BE;Niederîsch;463;613452;218323
BE;Niederried bei Interlaken;429;637224;175054
BE;Niederried bei Kallnach;454;584241;206160
BE;Niederstocken;548;610139;172332
BE;Niederwichtrach;602;610615;189019
BE;Nods;2665;573038;219197
BE;Noflen;272;608120;183505
BE;Oberbalm;1242;597752;190483
BE;Oberbipp;847;618078;233717
BE;Oberburg;1412;612766;208013
BE;Oberdiessbach;815;614405;187958
BE;Oberhofen am Thunersee;272;618265;175866
BE;OberhÅnigen;602;617670;191189
BE;Oberlangenegg;912;623143;183364
BE;Oberînz;297;618951;224805
BE;Oberîsch;215;613045;217368
BE;Oberried am Brienzersee;2012;639642;178521
BE;Obersteckholz;390;629306;227958
BE;Oberstocken;412;608534;172845
BE;Oberthal;1054;618246;196395
BE;Oberwichtrach;557;610875;187429
BE;Oberwil bei BÅren;672;597935;219976
BE;Oberwil im Simmental;4609;599470;167188
BE;Ochlenberg;1213;622221;221701
BE;Oeschenbach;390;623310;217680
BE;Oppligen;341;612055;185118
BE;Orpund;397;589773;221185
BE;Orvin;2160;581381;222838
BE;Ostermundigen;594;604334;200533
BE;Perrefitte;857;590950;236359
BE;PÇry;1571;586714;227543
BE;Pieterlen;832;591612;224775
BE;Plagne;748;587914;226422
BE;Pohlern;989;606450;173842
BE;Pontenet;273;586046;233233
BE;Port;245;586360;218141
BE;Pràles;697;575454;216059
BE;Radelfingen;1473;587093;205662
BE;Rapperswil (BE);1820;598322;211994
BE;RebÇvelier;354;580898;237701
BE;Reconvilier;824;583669;230659
BE;Reichenbach im Kandertal;12572;622879;158270
BE;Reisiswil;200;630633;223444
BE;Renan (BE);1264;559369;217878
BE;Reutigen;1128;612756;171286
BE;Riggisberg;767;602352;184133
BE;Ringgenberg (BE);875;634552;173139
BE;Roches (BE);905;595661;239212
BE;Roggwil (BE);780;628745;231800
BE;Rohrbach;406;628227;220173
BE;Rohrbachgraben;650;627642;218079
BE;Romont (BE);703;591826;227414
BE;Rîthenbach bei Herzogenbuchsee;204;618536;228449
BE;Rîthenbach im Emmental;3679;624213;187983
BE;Rubigen;693;608099;194293
BE;RÅderswil;1717;621609;203262
BE;RÅdtligen-AlchenflÅh;273;609875;214875
BE;RÅeggisberg;3576;599486;184910
BE;RÅegsau;1509;619182;209709
BE;Rumendingen;242;615612;217156
BE;Rumisberg;515;614832;235671
BE;RÅmligen;465;603812;186304
BE;Ruppoldsried;220;599146;215515
BE;RÅschegg;5728;597503;177160
BE;RÅti bei BÅren;651;597925;222262
BE;RÅti bei Lyssach;129;610927;211501
BE;RÅti bei Riggisberg;2218;601408;180248
BE;RÅtschelen;398;625195;224517
BE;Saanen;11974;588462;147814
BE;Safnern;562;591147;222378
BE;Saicourt;1376;580025;233517
BE;Saint-Imier;2089;565930;222399
BE;Saules (BE);428;583606;233620
BE;Saxeten;1914;629777;163836
BE;Schalunen;139;606572;217867
BE;Schangnau;3648;633947;184542
BE;Schattenhalb;3153;655945;171697
BE;Schelten;556;608473;242212
BE;Scheunen;218;601244;213300
BE;Scheuren;212;591552;220118
BE;Schlosswil;345;613260;195271
BE;SchÅpfen;1982;595135;209419
BE;Schwadernau;412;590807;219198
BE;Schwanden bei Brienz;702;647140;180170
BE;SchwarzhÑusern;379;624850;233923
BE;Schwendibach;150;616965;179879
